PC6,hh_ID,hh_size,neighb_code,hh_type,income_group,car_ownership,longitude,latitude,PC4
2531AE,37413,1,BU05183638,single,income_2_10,1,4.29729671877661,52.0575816111391,2531
2531AG,37388,1,BU05183638,single,income_2_10,0,4.29798655501657,52.0574462036195,2531
2531AG,36254,1,BU05183638,single,income_6_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35551,3,BU05183638,couple_with_children,income_8_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35706,2,BU05183638,couple_without_children,income_6_10,0,4.29798655501657,52.0574462036195,2531
2531AG,34687,4,BU05183638,couple_with_children,income_9_10,0,4.29798655501657,52.0574462036195,2531
2531AG,37137,1,BU05183638,single,income_4_10,0,4.29798655501657,52.0574462036195,2531
2531AG,34803,4,BU05183638,couple_with_children,income_9_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35541,3,BU05183638,couple_with_children,income_1_10,0,4.29798655501657,52.0574462036195,2531
2531AG,36118,2,BU05183638,couple_without_children,income_2_10,0,4.29798655501657,52.0574462036195,2531
2531AG,37469,1,BU05183638,single,income_3_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35680,2,BU05183638,couple_without_children,income_10_10,0,4.29798655501657,52.0574462036195,2531
2531AG,37103,1,BU05183638,single,income_9_10,1,4.29798655501657,52.0574462036195,2531
2531AG,36551,1,BU05183638,single,income_3_10,0,4.29798655501657,52.0574462036195,2531
2531AG,36787,1,BU05183638,single,income_10_10,1,4.29798655501657,52.0574462036195,2531
2531AG,36425,1,BU05183638,single,income_4_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35031,4,BU05183638,couple_with_children,income_7_10,0,4.29798655501657,52.0574462036195,2531
2531AG,34793,4,BU05183638,couple_with_children,income_2_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35942,2,BU05183638,couple_without_children,income_8_10,0,4.29798655501657,52.0574462036195,2531
2531AG,34718,4,BU05183638,couple_with_children,income_9_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35518,3,BU05183638,couple_with_children,income_6_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35245,2,BU05183638,single-parent,income_7_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35629,2,BU05183638,couple_without_children,income_7_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35489,3,BU05183638,couple_with_children,income_6_10,0,4.29798655501657,52.0574462036195,2531
2531AG,35621,3,BU05183638,couple_with_children,income_7_10,0,4.29798655501657,52.0574462036195,2531
2531AG,36360,1,BU05183638,single,income_2_10,0,4.29798655501657,52.0574462036195,2531
2531AH,35227,3,BU05183638,couple_with_children,income_10_10,0,4.29878394946749,52.057225440268,2531
2531AH,35938,2,BU05183638,couple_without_children,income_4_10,0,4.29878394946749,52.057225440268,2531
2531AH,35894,2,BU05183638,couple_without_children,income_10_10,0,4.29878394946749,52.057225440268,2531
2531AH,35391,3,BU05183638,couple_with_children,income_5_10,0,4.29878394946749,52.057225440268,2531
2531AH,36104,2,BU05183638,couple_without_children,income_3_10,0,4.29878394946749,52.057225440268,2531
2531AH,35000,4,BU05183638,couple_with_children,income_1_10,0,4.29878394946749,52.057225440268,2531
2531AH,35622,3,BU05183638,couple_with_children,income_10_10,0,4.29878394946749,52.057225440268,2531
2531AH,34927,4,BU05183638,couple_with_children,income_10_10,0,4.29878394946749,52.057225440268,2531
2531AH,36153,2,BU05183638,couple_without_children,income_8_10,0,4.29878394946749,52.057225440268,2531
2531AH,36855,1,BU05183638,single,income_3_10,0,4.29878394946749,52.057225440268,2531
2531AH,36532,1,BU05183638,single,income_4_10,0,4.29878394946749,52.057225440268,2531
2531AH,34504,4,BU05183638,single-parent,income_1_10,1,4.29878394946749,52.057225440268,2531
2531AH,36290,1,BU05183638,single,income_5_10,0,4.29878394946749,52.057225440268,2531
2531AH,35012,4,BU05183638,couple_with_children,income_9_10,0,4.29878394946749,52.057225440268,2531
2531AH,34469,5,BU05183638,couple_with_children,income_9_10,0,4.29878394946749,52.057225440268,2531
2531AH,36111,2,BU05183638,couple_without_children,income_5_10,0,4.29878394946749,52.057225440268,2531
2531AH,35183,3,BU05183638,couple_with_children,income_1_10,0,4.29878394946749,52.057225440268,2531
2531AH,36154,2,BU05183638,couple_without_children,income_2_10,0,4.29878394946749,52.057225440268,2531
2531AH,35062,3,BU05183638,couple_with_children,income_6_10,0,4.29878394946749,52.057225440268,2531
2531AH,34496,5,BU05183638,couple_with_children,income_3_10,0,4.29878394946749,52.057225440268,2531
2531AH,34667,4,BU05183638,couple_with_children,income_6_10,0,4.29878394946749,52.057225440268,2531
2531AH,35557,3,BU05183638,couple_with_children,income_9_10,0,4.29878394946749,52.057225440268,2531
2531AH,36407,1,BU05183638,single,income_3_10,0,4.29878394946749,52.057225440268,2531
2531AH,36286,1,BU05183638,single,income_1_10,1,4.29878394946749,52.057225440268,2531
2531AH,36042,2,BU05183638,couple_without_children,income_1_10,0,4.29878394946749,52.057225440268,2531
2531AH,37050,1,BU05183638,single,income_1_10,1,4.29878394946749,52.057225440268,2531
2531AH,36888,1,BU05183638,single,income_10_10,1,4.29878394946749,52.057225440268,2531
2531AJ,34559,3,BU05183638,single-parent,income_2_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,37342,1,BU05183638,single,income_4_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,35289,3,BU05183638,couple_with_children,income_7_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,37464,1,BU05183638,single,income_8_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,36868,1,BU05183638,single,income_1_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,35175,3,BU05183638,couple_with_children,income_6_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,36378,1,BU05183638,single,income_4_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,34626,3,BU05183638,single-parent,income_3_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,35982,2,BU05183638,couple_without_children,income_9_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,37429,1,BU05183638,single,income_3_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,36040,2,BU05183638,couple_without_children,income_10_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,35495,2,BU05183638,single-parent,income_1_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,35069,2,BU05183638,single-parent,income_6_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,36714,1,BU05183638,single,income_5_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,35025,4,BU05183638,couple_with_children,income_7_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,37345,1,BU05183638,single,income_2_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,34872,4,BU05183638,couple_with_children,income_10_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,34641,4,BU05183638,couple_with_children,income_7_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,36547,1,BU05183638,single,income_8_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,34883,3,BU05183638,single-parent,income_2_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,35309,2,BU05183638,single-parent,income_3_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,35820,2,BU05183638,couple_without_children,income_3_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,36808,1,BU05183638,single,income_2_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,37098,1,BU05183638,single,income_9_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,37468,1,BU05183638,single,income_3_10,1,4.2993418124065,52.0567737265951,2531
2531AJ,36470,1,BU05183638,single,income_6_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,36582,1,BU05183638,single,income_6_10,0,4.2993418124065,52.0567737265951,2531
2531AJ,35067,3,BU05183638,couple_with_children,income_8_10,0,4.2993418124065,52.0567737265951,2531
2531AK,35888,2,BU05183638,couple_without_children,income_1_10,0,4.29996473102656,52.0567927978326,2531
2531AK,37435,1,BU05183638,single,income_1_10,1,4.29996473102656,52.0567927978326,2531
2531AK,37313,1,BU05183638,single,income_1_10,1,4.29996473102656,52.0567927978326,2531
2531AK,35741,2,BU05183638,couple_without_children,income_1_10,0,4.29996473102656,52.0567927978326,2531
2531AK,36779,1,BU05183638,single,income_1_10,0,4.29996473102656,52.0567927978326,2531
2531AK,36776,1,BU05183638,single,income_2_10,0,4.29996473102656,52.0567927978326,2531
2531AK,34395,5,BU05183638,couple_with_children,income_8_10,0,4.29996473102656,52.0567927978326,2531
2531AK,35462,3,BU05183638,couple_with_children,income_6_10,0,4.29996473102656,52.0567927978326,2531
2531AK,34728,3,BU05183638,single-parent,income_1_10,1,4.29996473102656,52.0567927978326,2531
2531AK,35700,2,BU05183638,couple_without_children,income_4_10,0,4.29996473102656,52.0567927978326,2531
2531AK,34684,4,BU05183638,couple_with_children,income_10_10,0,4.29996473102656,52.0567927978326,2531
2531AK,37546,1,BU05183638,single,income_5_10,0,4.29996473102656,52.0567927978326,2531
